
,Dataset,Data Characteristics,,,,,CtxPipe (Our space) ,Diffprep (Feature-Wise Pipeline + Diffprep space) ,Ours(DiffPrep Space),Ours (our search space),Ours (our search space + ordering)
,,#Ex.,#Feat.,#Classes,#Missing Values,#Outlier cells,,,,,
,876,100,50,2,0,0,"['blank', 'blank', 'blank', 'blank', 'blank', 'RobustScaler']	 0.4",0.70,"numeric_imputation': 'most_frequent', 'categorical_imputation': 'dummy', 'scaling': 'maxabs', 'outlier_cleaning': 'iqr-1', 'discretization': 'none': 0.55","imputation': 'mean', 'scaling': 'robust', 'encoding': 'onehot', 'feature_selection': 'k_best', 'outlier_removal': 'isolation_forest', 'dimensionality_reduction': 'pca': 0.70","{imputation=knn, scaling=robust, encoding=onehot, feature_selection=k_best, outlier_removal=isolation_forest, dimensionality_reduction=svd, step_order=['imputation', 'scaling', 'outlier_removal', 'encoding', 'feature_selection', 'dimensionality_reduction']} : 0.55"
,18,2000,6,10,0,5,0.8150,0.7675,"{'numeric_imputation': 'most_frequent', 'categorical_imputation': 'most_frequent', 'scaling': 'robust', 'outlier_cleaning': 'none', 'discretization': 'quantile-20'}: 0.7675","imputation': 'most_frequent', 'scaling': 'standard', 'encoding': 'onehot', 'feature_selection': 'none', 'outlier_removal': 'isolation_forest', 'dimensionality_reduction': 'pca': 0.795","{imputation=most_frequent, scaling=standard, encoding=onehot, feature_selection=none, outlier_removal=isolation_forest, dimensionality_reduction=pca, step_order=['imputation', 'scaling', 'encoding', 'outlier_removal', 'feature_selection', 'dimensionality_reduction']}: 0.795"
,1520,164,90,5,0,2033,"['blank', 'blank', 'blank', 'blank', 'blank', 'RobustScaler']  0.625",0.5625,0.6562,"imputation': 'constant', 'scaling': 'robust', 'encoding': 'onehot', 'feature_selection': 'mutual_info', 'outlier_removal': 'none', 'dimensionality_reduction': 'pca'} 0.7812","{imputation=none, scaling=robust, encoding=onehot, feature_selection=mutual_info, outlier_removal=none, dimensionality_reduction=svd, step_order=['imputation', 'outlier_removal', 'encoding', 'scaling', 'feature_selection', 'dimensionality_reduction']}:  0.7188"
,1548,2500,100,3,0,1184,"['blank', 'blank', 'blank', 'blank', 'blank', 'blank']         0.528",0.614,0.516,0.596,"{imputation=knn, scaling=none, encoding=onehot, feature_selection=k_best, outlier_removal=lof, dimensionality_reduction=none, step_order=['imputation', 'scaling', 'encoding', 'outlier_removal', 'dimensionality_reduction', 'feature_selection']}
: 0.604"
,184,28056,6,18,0,0,"['blank', 'blank', 'blank', 'blank', 'blank', 'RobustScaler']  0.8009",0.7972,0.8842,0.8829,"{imputation=median, scaling=maxabs, encoding=onehot, feature_selection=none, outlier_removal=zscore, dimensionality_reduction=none, step_order=['imputation', 'scaling', 'encoding', 'outlier_removal', 'feature_selection', 'dimensionality_reduction']}
: 0.653"
,378,8844,60,7,0,0,"['blank', 'ImputerCatMode', 'blank', 'blank', 'blank', 'blank']	 0.7862",0.8303,0.8071,0.7387,"{imputation=constant, scaling=standard, encoding=onehot, feature_selection=variance_threshold, outlier_removal=none, dimensionality_reduction=pca, step_order=['imputation', 'scaling', 'encoding', 'outlier_removal', 'feature_selection', 'dimensionality_reduction']}: 0.806"
,381,7485,60,7,0,0,"['blank', 'ImputerCatMode', 'blank', 'blank', 'blank', 'blank']	 0.7869",0.7942,0.7081,0.809,
,382,7019,60,8,0,0,"['blank', 'ImputerCatMode', 'blank', 'blank', 'blank', 'blank'] 0.4255",0.4982,0.4968,0.4875,"{imputation=median, scaling=robust, encoding=onehot, feature_selection=k_best, outlier_removal=zscore, dimensionality_reduction=none, step_order=['imputation', 'scaling', 'encoding', 'outlier_removal', 'feature_selection', 'dimensionality_reduction']}: 0.469"
,993,7019,60,2,0,3671,"['blank', 'ImputerCatMode', 'blank', 'blank', 'blank', 'blank']	 0.8767",0.9764,0.9655,0.9729,"{imputation=median, scaling=maxabs, encoding=onehot, feature_selection=none, outlier_removal=zscore, dimensionality_reduction=none, step_order=['imputation', 'scaling', 'encoding', 'outlier_removal', 'feature_selection', 'dimensionality_reduction']}: 0.976"
,1485,2600,500,2,0,13571,"['blank', 'blank', 'blank', 'blank', 'blank', 'RobustScaler']             0.825",0.8423,"{'numeric_imputation': 'none', 'categorical_imputation': 'none', 'scaling': 'minmax', 'outlier_cleaning': 'iqr-2', 'discretization': 'none'}: 0.8846",0.8712,none yet
,14,2000,76,10,0,1522,"['blank', 'blank', 'blank', 'blank', 'RobustScaler', 'blank']	 0.865",0.8275,"{'numeric_imputation': 'MICE', 'categorical_imputation': 'none', 'scaling': 'none', 'outlier_cleaning': 'zscore-3', 'discretization': 'uniform-10'}: 0.845","imputation': 'median', 'scaling': 'standard', 'encoding': 'label', 'feature_selection': 'k_best', 'outlier_removal': 'none', 'dimensionality_reduction': 'none': 0.885","imputation=median, scaling=standard, encoding=onehot, feature_selection=k_best, outlier_removal=none, dimensionality_reduction=none, step_order=['imputation', 'scaling', 'encoding', 'outlier_removal', 'feature_selection', 'dimensionality_reduction']}
: 0.83"
,,,,,,,0.7878,0.7517,,,
